O2tex;;;;;
O2tpp;;;;;
POR5;;;;;
PPC;;;;;
O2tex;;;;;
O2tpp;;;;;
GLCtex_copy2;;;;;
GLUSy;;;;;
RPE;;;;;
TKT2;;;;;
TRDR;;;;;
TRDR;;;;;
S2FE2SS2;S4FE4SR;S4FE4ST;;;
SCYSDS;;;;;
CDPMEK;DXPRIi;IPDPS;MEPCT;MECDPDH5;MECDPS
Kt2pp;;;;;
PPC;;;;;
MNt2pp;;;;;
RNTR2c2;;;;;
RNTR3c2;;;;;
RNTR1c2;;;;;
NI2uabcpp;;;;;
ENO;PGM;;;;
GAPD;PGK;;;;
ENO;PGM;;;;
GAPD;PGK;;;;
OPHHX3;;;;;
PAPSR2;;;;;
TRDR;;;;;
PDX5POi;;;;;
PPK;;;;;
RPI;;;;;
TKT1;;;;;
TKT2;;;;;
TKT2;;;;;
TKT2;;;;;
VPAMTr;;;;;
ZNabcpp;;;;;
