Gene,Value
b0002,5084.283333
b0003,3226.196667
b0004,3510.383333
b0007,349.4263333
b0008,4525.703333
b0019,892.9933333
b0025,2286.703333
b0026,2306.293333
b0029,948.926
b0030,563.9883333
b0031,2280.433333
b0032,3761.723333
b0033,3701.766667
b0036,1209.436667
b0037,335.7956667
b0038,557.8483333
b0040,82.88843333
b0047,458.8193333
b0048,903.541
b0049,1356.05
b0052,1421.163333
b0061,849.2923333
b0062,157.245
b0063,757.2673333
b0066,600.275
b0067,731.9283333
b0068,1220.47
b0070,1278.976667
b0071,2697.743333
b0072,3922.81
b0073,4377.766667
b0074,3956.236667
b0077,2225.63
b0078,2697.656667
b0084,1459.886667
b0085,1388.88
b0086,1475.923333
b0087,1222.516667
b0088,947.3863333
b0090,824.73
b0091,1016.186333
b0092,1679.353333
b0096,2916.24
b0099,441.5373333
b0103,1193.957333
b0104,2351.96
b0109,476.4863333
b0110,442.5576667
b0112,2488.353333
b0114,5633.123333
b0115,4028.54
b0116,4667.213333
b0118,3099.566667
b0120,2831.363333
b0121,2728.963333
b0123,2136.47
b0124,785.746
b0125,1591.4
b0126,5210.873333
b0131,2568.376667
b0133,990.4953333
b0134,2303.57
b0142,702.1116667
b0149,1028.443333
b0150,869.6733333
b0151,1125.406667
b0152,607.1306667
b0153,857.8183333
b0154,578.8896667
b0155,807.9116667
b0158,613.7333333
b0159,1045.016667
b0160,233.3066667
b0166,3394.603333
b0171,3027.98
b0173,1064.967
b0174,1369.34
b0175,684.7166667
b0179,3189.16
b0180,3217.18
b0181,1869.153333
b0182,787.813
b0185,2050.116667
b0186,673.1946667
b0194,2236.46
b0197,4705.176667
b0198,2228.713333
b0199,1613.98
b0200,1463.483333
b0207,358.2573333
b0212,494.686
b0221,391.255
b0222,1593.403333
b0237,1496.096667
b0238,1949.6
b0241,147.848
b0242,1518.763333
b0243,2252.73
b0260,715.2433333
b0261,966.292
b0273,2570.096667
b0312,798.4556667
b0314,834.5213333
b0323,337.167
b0331,349.3356667
b0333,407.6166667
b0334,62.57483333
b0335,559.9493333
b0336,3134.196667
b0337,3303.296667
b0339,579.5143333
b0340,155.7416667
b0341,580.057
b0343,83.65336667
b0344,689.2953333
b0347,444.46866670000003
b0348,379.567
b0349,514.0233333
b0350,242.0343333
b0351,128.8986667
b0352,636.1163333
b0353,806.6246667
b0355,192.5696667
b0356,1443.926667
b0365,256.8856667
b0366,221.7866667
b0367,331.986
b0368,189.9976667
b0369,1228.156667
b0381,433.1623333
b0383,670.8896667
b0386,1358.72
b0388,1617.773333
b0394,997.753
b0401,459.3786667
b0403,487.836
b0404,975.489
b0411,2553.616667
b0414,1304.05
b0415,2657.96
b0417,1629.55
b0418,1014.137
b0420,1040.917
b0421,1806.523333
b0423,1113.47
b0425,1252.723333
b0428,2139.966667
b0429,4447.523333
b0430,4282.653333
b0431,5031.92
b0432,5931.766667
b0433,420.505
b0446,729.6853333
b0451,1378.83
b0452,321.4443333
b0459,486.2253333
b0469,2014.07
b0474,3439.543333
b0475,436.4206667
b0477,588.731
b0480,1178.496667
b0484,419.9496667
b0485,1395.823333
b0494,1197.086667
b0505,839.9436667
b0507,156.273
b0508,52.134
b0509,441.0926667
b0511,113.8211333
b0512,130.1436667
b0514,308.3943333
b0516,428.213
b0517,398.7543333
b0521,1278.006667
b0522,1677.246667
b0523,2666.74
b0524,759.9983333
b0526,1307.646667
b0529,2457.793333
b0572,2213.42
b0573,3119.283333
b0574,936.2823333
b0575,340.5426667
b0576,195.5553333
b0583,81.8596
b0584,591.225
b0585,663.7186667
b0586,311.7233333
b0588,949.6346667
b0589,250.575
b0590,393.4643333
b0591,521.2553333
b0592,306.6426667
b0593,588.1706667
b0594,571.478
b0595,742.5566667
b0596,1441.07
b0604,668.7373333
b0612,379.352
b0613,181.74
b0614,163.0943333
b0615,102.8661667
b0616,136.3356667
b0617,95.94563333
b0621,908.7576667
b0622,265.8496667
b0632,1973.43
b0635,471.1633333
b0638,280.3913333
b0639,2006.083333
b0642,2734.253333
b0650,302.9906667
b0651,515.2796667
b0652,571.5446667
b0653,565.0653333
b0654,617.277
b0655,2272.4
b0657,1022.444667
b0662,751.2833333
b0674,856.6893333
b0677,1017.880333
