Gene,Value
b0678,593.7603333
b0679,576.0683333
b0680,1339.673333
b0684,2794.433333
b0688,1134.97
b0692,94.44633333
b0693,256.0533333
b0696,978.823
b0697,61.18996667
b0698,177.6486667
b0720,4711.096667
b0721,3507.193333
b0722,4385.48
b0723,5207.016667
b0724,2151.106667
b0726,4780.26
b0727,5997.726667
b0728,6980.64
b0729,3364.083333
b0731,161.5946667
b0732,165.9193333
b0733,1744.373333
b0734,2154.123333
b0750,1950.676667
b0751,1425.42
b0752,297.834
b0754,4836.37
b0755,2530.79
b0756,1572.083333
b0757,2381.483333
b0758,667.443
b0759,1455.513333
b0763,589.627
b0764,354.5796667
b0765,234.0896667
b0767,1761.646667
b0774,1878.286667
b0775,1792.143333
b0776,605.5413333
b0778,673.491
b0789,428.0686667
b0805,380.2276667
b0809,2236.293333
b0810,1881.57
b0811,4602.603333
b0813,261.7876667
b0822,776.4776667
b0825,868.213
b0828,1251.896667
b0829,1250.046667
b0830,802.166
b0831,411.4543333
b0832,364.981
b0837,696.4696667
b0839,1209.61
b0841,1116.436667
b0842,855.219
b0849,568.8873333
b0854,1704.86
b0855,592.0886667
b0856,817.6056667
b0857,924.879
b0860,2731.51
b0861,774.4283333
b0862,917.2936667
b0863,2373.21
b0864,1740
b0870,1196.503333
b0871,1465.35
b0875,397.5983333
b0886,686.339
b0887,610.8213333
b0888,1355.98
b0893,1339.673333
b0894,102.7765667
b0895,101.1180667
b0896,1180.833333
b0902,948.34
b0903,2450.743333
b0904,1882.14
b0907,3374.74
b0908,3281.09
b0910,3360.863333
b0914,855.0793333
b0915,730.962
b0918,1539.583333
b0928,4309.93
b0929,8545.57
b0930,1338.383333
b0931,1531.88
b0932,1159.04
b0933,375.0073333
b0934,793.133
b0935,780.049
b0936,420.8936667
b0937,241.065
b0945,1612.2
b0954,1774.17
b0957,8694.703333
b0963,1547.396667
b0972,129.251
b0973,564.831
b0974,261.371
b0978,643.9796667
b0979,60.13463333
b0980,154.4736667
b0996,521.7026667
b0997,762.5613333
b1002,639.418
b1006,144.6156667
b1014,277.527
b1015,1728.72
b1033,2053.503333
b1054,782.502
b1059,748.4213333
b1062,3121.9
b1064,2068.846667
b1091,3140.633333
b1092,3554.68
b1093,4712.276667
b1094,6826.656667
b1095,667.651
b1096,473.9773333
b1098,943.0213333
b1101,3839.146667
b1102,76.12786667
b1106,2096.316667
b1107,1869.156667
b1109,586.9103333
b1119,1038.514
b1123,2673.62
b1124,2315.486667
b1125,750.941
b1126,1496.07
b1131,2911.783333
b1134,597.81
b1136,8134.536667
b1185,748.2096667
b1186,893.713
b1189,611.8163333
b1190,355.1743333
b1192,995.8046667
b1193,1043.572
b1197,510.9446667
b1198,839.445
b1199,1321.696667
b1200,1152.4
b1207,2016.523333
b1208,4531.443333
b1210,993.5893333
b1215,2027.146667
b1216,486.735
b1223,241.812
b1224,815.3863333
b1225,994.7143333
b1226,657.9596667
b1227,581.365
b1232,1847.87
b1236,1499.81
b1238,811.5973333
b1241,2285.843333
b1243,2760.766667
b1244,1273.65
b1245,1500.413333
b1246,1248.273333
b1247,972.2436667
b1249,1043.076667
b1250,652.167
b1252,1007.753333
b1260,2611.806667
b1261,3677.686667
b1262,3650.766667
b1263,2106.12
b1264,2150.496667
b1270,436.8096667
b1276,1052.466333
b1277,1028.313333
b1278,1323.618667
b1281,1229.136667
b1288,2579.76
b1291,380.6156667
b1296,524.831
b1297,1212.39
b1298,1575.79
b1300,777.337
b1301,1396.5
b1302,1131.35
b1308,557.7993333
b1319,187.3363333
b1325,1175.143333
b1326,500.8253333
b1329,361.1993333
b1363,178.7186667
b1377,118.8626667
b1380,856.7263333
b1385,347.6763333
b1386,44.42743333
b1398,241.1936667
b1415,1231.323333
b1440,496.4156667
b1441,393.1583333
b1442,114.5023333
b1443,315.1813333
b1444,620.6906667
b1453,566.908
b1463,282.0953333
b1465,130.5413333
b1466,314.7793333
b1467,365.1776667
b1468,362.6566667
b1469,616.399
b1474,287.3116667
b1475,547.6096667
b1476,90.93753333
b1478,1189.536667
b1479,1455.933333
b1483,260.8796667
b1484,93.11163333
b1485,99.60883333
b1486,201.5916667
b1487,108.6353333
b1488,414.4146667
b1489,153.4583333
b1492,1301.646667
b1493,2394.33
b1519,733.035
b1521,232.8876667
b1524,725.7616667
b1528,449.045
b1533,923.6736667
b1539,1963.466667
b1584,1587.556667
b1587,41.52733333
b1588,101.369
b1589,101.3
b1590,435.4056667
b1592,114.34
b1602,2995.206667
b1603,6016.613333
b1605,264.4186667
b1606,617.547
b1611,537.3496667
b1612,1290.213333
b1613,858.6376667
b1621,268.135
b1622,274.1633333
b1623,638.9603333
b1636,798.5853333
b1637,2103.06
b1638,1192.986667
b1640,565.268
b1646,1615.15
b1651,2020.526667
b1654,3136.696667
b1656,4475.57
b1661,1667.896667
b1662,940.9006667
b1676,2689.02
b1677,7235.086667
b1692,139.8636667
b1693,820.2123333
b1701,516.295
b1702,1857.836667
b1704,876.7306667
b1709,543.236
b1711,981.8606667
b1713,3832.333333
b1714,2322.87
b1719,5093.483333
b1723,1401.193333
b1732,1753.766667
b1740,2500.053333
b1744,153.4423333
b1745,601.6406667
b1746,532.6943333
b1747,575.7103333
b1748,628.4396667
b1759,446.405
b1761,2587.216667
b1764,1777.476667
b1767,1134.6
b1768,852.8126667
b1773,221.0666667
b1778,4948.703333
b1779,7581.1
b1781,364.7416667
b1800,102.1464333
b1801,437.692
b1805,981.675
b1812,1052.76
b1814,478.0913333
b1817,4793.746667
b1818,4437.606667
b1819,1219.62
b1849,1620.5
b1850,1579
b1851,1963.35
b1852,1963.01
b1854,1263.013333
b1855,1042.833333
b1857,1203.77
b1858,713.4546667
b1859,399.441
b1865,1827.966667
b1866,2277.456667
b1872,201.9563333
b1873,114.425
b1876,919.9306667
b1896,901.62
b1897,1474.866667
b1900,195.8463333
b1901,504.9923333
b1907,550.7846667
b1912,799.5823333
b1919,1482.536667
b1927,1133.78
b1981,396.9556667
b1982,858.7953333
b1991,831.782
b1992,949.8996667
b1993,726.064
b2010,1040.59
b2019,2838.05
b2020,1633.486667
b2021,2646.906667
b2022,2004.83
b2023,1693.26
b2024,2650.93
b2025,2355.896667
b2026,1344.443333
b2027,2059.483333
b2028,362.2946667
b2029,4964.36
b2032,1692.64
b2033,1524.536667
b2034,1550.716667
b2035,695.0933333
b2036,1287.87
b2037,1262.363333
b2038,1568.626667
b2039,2647.863333
b2040,2469.273333
b2041,2406.776667
b2045,271.3583333
b2048,1349.616667
b2049,172.353
b2051,123.5946667
b2052,506.5176667
b2053,361.546
b2065,1061.466667
b2066,802.3793333
b2091,1361.166667
b2092,3207.226667
b2093,5256.853333
b2094,5598.656667
b2095,6588.486667
b2096,6621.963333
b2097,3452.776667
b2103,802.7446667
b2104,1754.813333
b2114,1066.301667
b2128,658.855
b2129,734.453
b2130,643.9846667
b2131,425.065
b2132,430.331
b2133,1074.471
b2134,812.143
b2143,492.0976667
b2148,880.163
b2149,490.404
b2150,1014.144667
b2153,3214.933333
b2154,1350.09
b2155,879.26
b2156,1559.076667
b2162,170.9223333
b2167,257.039
b2168,537.7656667
b2169,575.3813333
b2170,351.9196667
b2199,591.7253333
b2200,584.3493333
b2201,331.9453333
b2202,559.0523333
b2203,687.2636667
b2204,523.3763333
b2205,812.5316667
b2206,665.5666667
b2210,476.007
b2215,5879.81
b2221,128.9426667
b2222,720.046
b2223,214.6943333
b2224,167.3713333
b2232,1304.913333
b2234,1271.03
b2235,1408.49
b2239,295.9393333
b2240,427.7593333
b2241,303.0246667
b2242,353.7986667
b2243,211.4123333
b2251,230.6393333
b2253,271.309
b2254,387.2123333
b2255,754.6403333
b2257,402.615
b2260,447.5886667
b2261,1149.726667
b2262,1476.216667
b2264,642.5986667
b2265,613.6006667
b2276,1386.523333
b2277,1547.073333
b2278,2075.303333
b2279,1575.193333
b2280,2112.803333
b2281,2492.856667
b2282,2175.9
b2283,2384.923333
b2284,2539.2
b2285,4062.75
b2286,3144.733333
b2287,3400.923333
b2288,3099.016667
b2291,570.0916667
b2296,2143.503333
b2297,660.725
b2303,2518.553333
b2306,1403.496667
b2307,819.242
b2308,1489.11
b2309,3773.076667
b2310,1358.236667
b2311,194.367
b2312,1308.06
b2315,1093.488333
b2316,1919.486667
b2320,698.476
b2323,3346.383333
b2328,763.9516667
b2329,1981.61
b2341,800.1933333
b2342,728.3753333
b2344,287.3743333
b2366,442.2146667
b2378,177.7323333
b2388,750.6753333
b2392,393.4833333
b2393,1272.36
b2400,1949.083333
b2406,63.6225
b2407,285.3013333
b2411,1071.24
b2414,7411.623333
b2415,6410.67
b2416,5888.823333
b2417,4626.223333
b2418,743.1823333
b2421,1265.633333
b2422,1352.833333
b2423,1395.923333
b2424,1602.423333
b2425,2539.573333
b2429,598.7986667
b2435,912.3686667
b2436,374.6123333
b2440,481.6036667
b2441,1098.593333
b2458,304.069
b2463,1404.593333
b2464,3077.816667
b2465,1871.79
b2467,465.8183333
b2472,463.015
b2476,2937.216667
b2478,3491.623333
b2480,4269.47
b2481,2689.04
b2482,455.6376667
b2483,274.587
b2484,483.932
b2485,245.593
b2486,341.0563333
b2487,529.046
b2488,191.6203333
b2489,174.1566667
b2490,483.657
b2492,273.951
b2497,1475.59
b2498,3593.966667
b2499,2436.963333
b2500,2225.843333
b2501,1681.693333
b2502,767.3276667
b2507,2079.49
b2508,3440.476667
b2514,1900.106667
b2515,1227.926667
b2518,3488.086667
b2519,381.3786667
b2521,1113.916667
b2523,1261.003333
b2530,3259.536667
b2533,562.669
b2536,446.408
b2538,279.213
b2539,219.159
b2540,624.964
b2541,605.724
b2542,372.1513333
b2551,4306.736667
b2552,529.946
b2557,1403.343333
b2563,1202.44
b2564,1271
b2574,905.7913333
b2578,751.8963333
b2579,1302.092667
b2582,594.9146667
b2585,1354.616667
b2587,3867.743333
b2599,2277.593333
b2600,1088.546667
b2601,2697.813333
b2615,489.187
b2661,1126.574667
b2662,751.5116667
b2663,402.4346667
b2675,343.3456667
b2676,180.0423333
b2677,785.4603333
b2678,732.1106667
b2679,747.346
b2687,2716.696667
b2688,2799.683333
b2690,723.4553333
b2697,3536.83
b2701,775.6093333
b2702,533.8723333
b2703,417.9476667
b2704,140.091
b2705,340.955
b2708,1413.186667
b2710,470.6403333
b2711,849.1436667
b2719,241.2976667
b2720,158.9483333
b2721,93.09363333
b2722,787.7763333
b2723,113.737
b2724,201.153
b2738,288.1876667
b2744,1097.626667
b2746,1479.67
b2747,926.7626667
b2750,1914.436667
b2751,2896.78
b2752,4790.836667
b2762,2581.696667
b2763,2907.873333
b2764,3093.5
b2779,5812.946667
b2780,2868.246667
b2781,1298.63
b2784,921.064
b2787,414.8776667
b2788,716.0123333
b2789,465.2113333
b2796,427.0163333
b2797,1289.173333
b2799,151.0633333
b2800,38.77933333
b2801,91.6682
b2802,386.4036667
b2803,1228.6
b2810,1279.123333
b2813,885.6056667
b2817,481.7823333
b2818,1677.273333
b2827,1552.603333
b2835,313.5536667
b2836,1057.38
b2838,703.8466667
b2841,235.225
b2866,140.4083333
b2867,178.178
b2868,236.0726667
b2871,475.0073333
b2874,103.7392333
b2883,80.41656667
b2889,294.8593333
b2890,1532.466667
b2893,1211.283333
b2895,988.1053333
b2901,963.5386667
b2903,862.219
b2904,3813.933333
b2905,1613.133333
b2907,704.811
b2913,5767.913333
b2914,2092.316667
b2917,223.0933333
b2919,584.8753333
b2920,136.563
b2923,361.386
b2925,2834.826667
b2926,3682.9
b2927,2330.483333
b2935,2377.75
b2937,2007.23
b2938,1393.693333
b2942,2969.783333
b2943,406.172
b2947,1136.356667
b2954,1530.946667
b2957,121.7191
b2963,812.1793333
b2964,170.0766667
b2965,466.3366667
b2975,349.588
b2976,453.4703333
b2979,362.4346667
b2987,242.508
b2988,959.6743333
b2994,164.4263667
b2997,236.1516667
b3001,425.9303333
b3005,1708.15
b3006,1764.286667
b3008,1062.976
b3012,1126.43
b3018,796.9443333
b3028,1237.31
b3029,1198.743333
b3040,727.2673333
b3041,738.2416667
b3052,657.857
b3057,466.7603333
b3058,996.8983333
b3061,238.5233333
b3062,196.7956667
b3063,929.725
b3073,850.815
b3089,502.1036667
b3091,479.179
b3092,965.1256667
b3093,465.1756667
b3114,912.4646667
b3115,93.8183
b3116,210.977
b3117,75.3877
b3124,391.9456667
b3125,592.4996667
b3126,374.3783333
b3127,746.8143333
b3128,334.0333333
b3132,398.2063333
b3137,1664.933333
b3161,396.4853333
b3172,1641.62
b3176,1426.363333
b3177,1125.703333
b3182,193.208
b3187,1281.106667
b3189,1061.235
b3196,1395.503333
b3197,1293.76
b3198,1906.043333
b3212,5647.646667
b3213,4575.973333
b3222,227.421
b3223,512.6723333
b3224,454.671
b3225,241.8683333
b3236,5608.733333
b3255,3382.2
b3256,1560.63
b3258,323.168
b3265,2374.813333
b3266,229.591
b3281,1191.983333
b3288,1284.17
b3290,396.3883333
b3350,681.078
b3359,2204.513333
b3360,362.0216667
b3365,174.4153333
b3366,100.4019
b3367,321.8956667
b3368,845.354
b3370,94.6382
b3371,79.32093333
b3374,188.4373333
b3380,107.8823333
b3384,867.2596667
b3385,1994.73
b3386,1322.293333
b3389,2306.163333
b3390,2915.24
b3396,900.0223333
b3397,838.039
b3403,902.702
b3409,655.8376667
b3415,211.945
b3416,851.7346667
b3417,1279.916667
b3425,859.8436667
b3426,419.9266667
b3428,906.3906667
b3429,1295.486667
b3430,2362.68
b3431,1978.083333
b3432,2164.916667
b3433,3307.03
b3437,58.82723333
b3447,529.3556667
b3449,1512.4
b3450,908.6743333
b3451,287.8996667
b3452,531.8573333
b3453,569.237
b3454,2226.25
b3455,2953.73
b3456,2498.63
b3457,3511.826667
b3458,3326.596667
b3460,5767.506667
b3469,1014.31
b3475,557.883
b3476,270.1976667
b3477,1034.751333
b3478,232.1
b3479,675.5766667
b3480,377.8473333
b3493,1237.17
b3500,1498.623333
b3502,316.1973333
b3503,302.5133333
b3517,1218.006333
b3519,1315.6
b3526,259.1036667
b3528,345.8756667
b3540,917.843
b3541,1294.556667
b3542,1369.053333
b3543,948.3693333
b3544,2614.986667
b3546,294.998
b3551,511.4713333
b3553,1159.45
b3559,2078.22
b3560,1604.336667
b3564,139.0516667
b3565,595.639
b3566,63.15506667
b3567,69.43756667
b3568,162.1313333
b3571,289.6356667
b3572,1434.396667
b3575,335.382
b3577,109.3721333
b3578,260.396
b3579,113.2826667
b3580,270.67
b3581,179.192
b3583,346.992
b3588,812.4093333
b3591,1505.85
b3599,762.844
b3600,657.6766667
b3603,183.5873333
b3605,595.362
b3607,1394.5
b3608,2081.286667
b3610,3355.216667
b3612,1728.066667
b3616,935.1916667
b3617,912.47
b3619,2272.873333
b3620,1319.3
b3621,1025.318333
b3622,717.6253333
b3623,532.9306667
b3624,299.66
b3625,789.8506667
b3626,588.369
b3627,632.3543333
b3628,414.9883333
b3629,349.6996667
b3630,404.265
b3631,844.1196667
b3632,664.692
b3633,997.6356667
b3634,692.889
b3639,1532.726667
b3640,912.0046667
b3642,927.687
b3648,2059.66
b3650,1467.746667
b3653,347.2586667
b3654,966.5113333
b3665,56.3403
b3666,82.94466667
b3670,1543.976667
b3671,2015.906667
b3679,172.0576667
b3691,420.6656667
b3693,97.33943333
b3708,45.27323333
b3709,115.6701
b3725,1545.59
b3726,648.369
b3727,1325.796667
b3728,1199.236667
b3729,1842.41
b3730,2915.92
b3731,2137.526667
b3732,3249.136667
b3733,4937.786667
b3734,5102.27
b3735,7723.083333
b3736,6194.773333
b3737,6293.003333
b3738,4277.09
b3739,3674.956667
b3744,532.3806667
b3747,258.4026667
b3748,1525.68
b3749,528.8463333
b3750,897.8073333
b3751,2156.213333
b3752,1225.73
b3770,3647.39
b3771,1552.283333
b3772,996.218
b3774,6968.766667
b3779,497.585
b3781,2856.27
b3784,643.4043333
b3785,763.7926667
b3786,1160.39
b3787,1004.589667
b3788,718.4443333
b3789,709.6306667
b3790,699.4593333
b3791,505.3493333
b3792,464.913
b3793,563.5526667
b3794,318.057
b3803,1320.276667
b3804,1337.943333
b3805,1247.416667
b3806,680.6406667
b3809,2598.693333
b3816,477.116
b3821,924.4976667
b3823,288.7786667
b3824,347.0953333
b3825,590.0916667
b3829,5029.903333
b3831,1296.53
b3833,1290.473333
b3835,727.7093333
b3843,1368.566667
b3844,1428.67
b3845,859.5313333
b3846,267.5656667
b3849,559.242
b3850,1132.883333
b3860,1570.673333
b3867,616.8993333
b3870,2425.39
b3875,105.5303333
b3892,951.8103333
b3893,401.1663333
b3894,345.4303333
b3902,483.559
b3903,561.2026667
b3904,253.129
b3907,419.5083333
b3908,4255.006667
b3909,217.393
b3915,1347.296667
b3916,1795.886667
b3917,1210.286667
b3918,494.398
b3919,3067.076667
b3924,739.4116667
b3925,841.9706667
b3926,233.21
b3927,213.141
b3930,1517.696667
b3939,1302.446667
b3940,1317.16
b3941,1653.406667
b3942,1293.936667
b3945,122.039
b3946,122.0383333
b3951,254.4073333
b3952,381.094
b3956,3066.9
b3957,1855.996667
b3958,2610.31
b3959,3540.476667
b3960,1570.81
b3962,715.7546667
b3966,882.4563333
b3967,816.2953333
b3972,942.0323333
b3974,611.901
b3990,1486.666667
b3991,2584.5
b3992,1565.076667
b3993,2182.243333
b3994,2418.396667
b3996,1073.096667
b3997,1206.33
b4005,1362.08
b4006,2605.423333
b4013,2055.433333
b4014,6467.956667
b4015,5745.963333
b4019,1299.383333
b4024,1409.453333
b4025,1771.816667
b4031,144.4203333
b4032,157.1516667
b4033,508.207
b4034,1122.786667
b4035,332.2503333
b4036,879.555
b4039,1235.876667
b4040,725.891
b4041,749.4433333
b4042,1056.256667
b4053,822.29
b4054,1645.756667
b4055,368.968
b4067,504.0476667
b4069,586.8323333
b4070,239.823
b4071,59.1352
b4072,85.9939
b4073,1222.123333
b4077,232.7483333
b4079,306.407
b4084,470.4086667
b4085,546.603
b4086,106.2317
b4087,191.366
b4088,267.414
b4090,593.0953333
b4094,762.2253333
b4111,1603.82
b4115,60.9399
b4117,75.6659
b4119,282.024
b4120,135.2153333
b4122,46.74086667
b4123,240.7433333
b4129,469.8623333
b4131,429.0343333
b4132,219.3086667
b4136,705.0233333
b4138,1006.891
b4139,559.2193333
b4151,193.3333333
b4152,424.6746667
b4153,333.41
b4154,1892.53
b4160,1051.330667
b4161,1230.273333
b4169,800.594
b4177,1675.116667
b4192,258.447
b4193,333.623
b4194,207.9496667
b4195,187.5863333
b4196,257.4346667
b4197,133.026
b4198,195.189
b4208,1156.063333
b4213,434.9803333
b4219,869.866
b4226,2594.12
b4227,325.668
b4230,149.2043333
b4231,55.27253333
b4232,1939.966667
b4233,970.9403333
b4237,137.6606667
b4238,493.274
b4239,1112.2
b4240,387.371
b4242,631.7463333
b4244,6822.576667
b4245,7835.243333
b4254,1754.726667
b4258,1682.606667
b4260,1885.146667
b4265,727.072
b4266,308.3056667
b4267,626.006
b4268,58.06596667
b4287,216.052
b4288,237.2023333
b4289,239.888
b4290,169.469
b4291,329.6036667
b4301,468.5676667
b4311,100.071
b4321,71.05436667
b4322,291.709
b4323,399.8693333
b4356,288.4386667
b4358,479.009
b4374,336.831
b4381,1333.306667
b4382,1045.848333
b4383,1370.376667
b4384,2485.486667
b4388,1266.983333
b4390,1019.717667
b4392,562.622
b4394,542.4346667
b4395,537.665
