5DOAN;;;;;;;;
A5PISO;KDOCT2;KDOPP;KDOPS;;;;;
3OAR140;3OAS140;;;;;;;
ACCOAC;;;;;;;;
ACGK;ACGS;AGPR;;;;;;
ACHBS;DHAD2;KARA2;ILETA;;;;;
ACLS;DHAD1;KARA1;;;;;;
ACODA;ACOTA;;;;;;;
ACONTa;ACONTb;;;;;;;
AGPAT160;;;;;;;;
AGPAT161;;;;;;;;
ADCL;;;;;;;;
AHCYSNS;DHPTDCs2;MTHTHFSs;RHCCE;;;;;
ADCS;;;;;;;;
AICART;IMPC;;;;;;;
AIRC2;AIRC3;ADSL2r;PRASCSi;;;;;
ALAALAr;;;;;;;;
ALAR;;;;;;;;
ADSK;BPNT;SADT2;SULR;;;;;
ADSL1r;ADSS;;;;;;;
AMPMS2;;;;;;;;
ASP1DC;;;;;;;;
ASPCT;DHORTS;ORPT;OMPDC;;;;;
ASPK;ASAD;;;;;;;
ANPRT;ANS;IGPS;PRAIi;;;;;
ASPTA;;;;;;;;
CAt6pp;CA2tex;CLt3_2pp;CLtex;Ktex;MG2tex;NNDPR;QULNS;
ATPPRT;HISTD;HISTP;HSTPT;IG3PS;IGPDH;PRAMPC;PRATPP;PRMICI
BMOCOS;;;;;;;;
BMOGDS1;;;;;;;;
BMOGDS2;;;;;;;;
CDPMEK;DXPRIi;IPDPS;MEPCT;MECDPDH5;MECDPS;;;
CHORM;;;;;;;;
CHORS;DHQTi;PSCVT;SHK3Dr;SHKK;;;;
CHRPL;;;;;;;;
COBALT2tex;;;;;;;;
COBALT2tpp;;;;;;;;
CPMPS;;;;;;;;
CYSS;;;;;;;;
CYSTL;HSST;SHSL1;;;;;;
APRAUR;;;;;;;;
CS;;;;;;;;
CTPS2;;;;;;;;
CU2tex;;;;;;;;
CU2tpp;;;;;;;;
DAPDC;;;;;;;;
DAPE;DHDPRy;DHDPS;SDPDS;SDPTA;THDPS;;;
DDPA;DHQS;;;;;;;
DASYN160;;;;;;;;
DASYN161;;;;;;;;
DB4PS;RBFSa;;;;;;;
DHFR;;;;;;;;
DHFS;;;;;;;;
DNMPPA;DNTPPA;DHNPA2r;;;;;;
DPCOAK;;;;;;;;
DPR;;;;;;;;
DHPPDA2;;;;;;;;
ARGSL;ARGSS;OCBT;;;;;;
DHPS2;;;;;;;;
DTMPK;;;;;;;;
DXPS;;;;;;;;
DMATT;;;;;;;;
E4PD;;;;;;;;
FCLT;UPPDC1;;;;;;;
FMNAT;;;;;;;;
G1PACT;PGAMT;UAGDP;;;;;;
G1SAT;GLUTRR;GLUTRS;HMBS;PPBNGS;UPP3S;;;
G3PD2;;;;;;;;
G5SADs;;;;;;;;
GK1;;;;;;;;
GLNS;;;;;;;;
GLUPRT;PRAGSr;PRAIS;PRFGS;;;;;
GLUR;UAAGDS;UAMAGS;UAMAS;;;;;
GCALDD;;;;;;;;
GF6PTA;;;;;;;;
HBZOPT;;;;;;;;
HCO3E;;;;;;;;
GMPS2;;;;;;;;
GRTT;;;;;;;;
HPPK2;;;;;;;;
HSDy;;;;;;;;
GTPCI;;;;;;;;
GTPCII2;;;;;;;;
HSK;THRS;;;;;;;
IPDDI;;;;;;;;
IPMD;IPPMIa;IPPMIb;IPPS;LEUTAi;OMCDC;;;
K2L4Aabcpp;K2L4Aabctex;;;;;;;
ICDHyr;;;;;;;;
ICYSDS;;;;;;;;
LPADSS;MOAT;MOAT2;TDSK;U23GAAT;UAGAAT;USHD;UHGADA;
METAT;;;;;;;;
METS;MTHFR2;;;;;;;
MCOATA;;;;;;;;
MCTP1App;;;;;;;;
MOADSUx;;;;;;;;
MOBDabcpp;;;;;;;;
MOBDtex;;;;;;;;
MOCOS;;;;;;;;
MOHMT;;;;;;;;
MPTAT;;;;;;;;
MPTG;;;;;;;;
MNtex;;;;;;;;
MPTS;;;;;;;;
MPTSS;;;;;;;;
NH4tex;;;;;;;;
NH4tpp;;;;;;;;
NI2tex;;;;;;;;
NADK;;;;;;;;
NNATr;NADS1;;;;;;;
NDPK1;;;;;;;;
NDPK2;;;;;;;;
NDPK4;;;;;;;;
P5CR;;;;;;;;
PANTS;PNTK;;;;;;;
OCTDPS;;;;;;;;
OHPBAT;;;;;;;;
PAPPT3;UAGCVT;UAGPT3;UAPGR;UDCPDP;UGMDDS;;;
OPHBDC;;;;;;;;
PDX5PS;;;;;;;;
PE160abcpp;;;;;;;;
PE161abcpp;;;;;;;;
PERD;;;;;;;;
PHETA1;PPNDH;;;;;;;
PMDPHT;;;;;;;;
PMPK;;;;;;;;
PItex;;;;;;;;
PPCDC;PTPATi;;;;;;;
PPNCL2;;;;;;;;
PPND;TYRTA;;;;;;;
PSD160;PSSA160;;;;;;;
PSD161;PSSA161;;;;;;;
SERAT;;;;;;;;
SHCHD2;;;;;;;;
SHCHF;;;;;;;;
SO4tex;;;;;;;;
THRD_L;;;;;;;;
THZPSN3;;;;;;;;
RBFK;;;;;;;;
TMDS;;;;;;;;
RBFSb;;;;;;;;
TMPK;;;;;;;;
TMPPP;;;;;;;;
TYRL;;;;;;;;
VALTA;;;;;;;;
VPAMTr;;;;;;;;
UDCPDPS;;;;;;;;
Zn2tex;;;;;;;;
UMPK;;;;;;;;
UPP3MT;;;;;;;;
