ENO;PGM;
ENO;PGM;
FLDR2;;
FUM;;
GAPD;PGK;
GAPD;PGK;
GLCtex_copy1;;
GLUDy;;
GND;;
GND;;
GRXR;;
GTHOr;;
I2FE2SS2;I4FE4SR;I4FE4ST
I2FE2SS2;I4FE4SR;I4FE4ST
IPDDI;;
Kabcpp;;
MALS;;
MN2tpp;;
NDPK5;;
NDPK7;;
NDPK8;;
NI2tpp;;
O2tex;;
O2tex;;
O2tpp;;
O2tpp;;
OPHHX;;
PAPSR;;
PAPSR2;;
PDX5PO2;;
PPA;;
RPE;;
RPE;;
RPE;;
RPI;;
TKT1;;
VALTA;;
ZN2tpp;;
