Var1,Var2
I2FE2SS,S2FE2SS
I2FE2SS2,S2FE2SS
I2FE2ST,S2FE2SS
I4FE4SR,S2FE2SS
I4FE4ST,S2FE2SS
I2FE2SR,S2FE2SS2
I2FE2SS,S2FE2SS2
I2FE2SS2,S2FE2SS2
I2FE2ST,S2FE2SS2
I4FE4SR,S2FE2SS2
I4FE4ST,S2FE2SS2
I2FE2SR,S2FE2ST
I2FE2SS,S2FE2ST
I2FE2SS2,S2FE2ST
I2FE2ST,S2FE2ST
I4FE4SR,S2FE2ST
I4FE4ST,S2FE2ST
I2FE2SR,S4FE4SR
I2FE2SS,S4FE4SR
I2FE2SS2,S4FE4SR
I2FE2ST,S4FE4SR
I4FE4SR,S4FE4SR
I4FE4ST,S4FE4SR
I2FE2SR,S4FE4ST
I2FE2SS,S4FE4ST
I2FE2SS2,S4FE4ST
I2FE2ST,S4FE4ST
I4FE4SR,S4FE4ST
I4FE4ST,S4FE4ST
I2FE2SR,S2FE2SR
I2FE2SS,S2FE2SR
I2FE2SS2,S2FE2SR
ICYSDS,S2FE2SR
MOADSUx,S2FE2SR
THZPSN3,S2FE2SR
I2FE2SR,S2FE2SS
I2FE2SS,S2FE2SS
I2FE2SS2,S2FE2SS
ICYSDS,S2FE2SS
MOADSUx,S2FE2SS
THZPSN3,S2FE2SS
I2FE2SR,S2FE2SS2
I2FE2SS,S2FE2SS2
I2FE2SS2,S2FE2SS2
ICYSDS,S2FE2SS2
MOADSUx,S2FE2SS2
THZPSN3,S2FE2SS2
I2FE2SR,S2FE2ST
I2FE2SS,S2FE2ST
I2FE2SS2,S2FE2ST
ICYSDS,S2FE2ST
MOADSUx,S2FE2ST
THZPSN3,S2FE2ST
I2FE2SR,S4FE4SR
I2FE2SS,S4FE4SR
I2FE2SS2,S4FE4SR
ICYSDS,S4FE4SR
MOADSUx,S4FE4SR
THZPSN3,S4FE4SR
I2FE2SR,S4FE4ST
I2FE2SS,S4FE4ST
I2FE2SS2,S4FE4ST
ICYSDS,S4FE4ST
MOADSUx,S4FE4ST
THZPSN3,S4FE4ST
DHNPA2r,S2FE2SR
DHNPTE,S2FE2SR
DHNPA2r,S2FE2SS
DHNPTE,S2FE2SS
DHNPA2r,S2FE2SS2
DHNPTE,S2FE2SS2
DHNPA2r,S2FE2ST
DHNPTE,S2FE2ST
DHNPA2r,S4FE4SR
DHNPTE,S4FE4SR
DHNPA2r,S4FE4ST
DHNPTE,S4FE4ST
S2FE2SR,I2FE2SR
S2FE2SS,I2FE2SR
S2FE2SS2,I2FE2SR
SCYSDS,I2FE2SR
S2FE2SR,I2FE2SS
S2FE2SS,I2FE2SS
S2FE2SS2,I2FE2SS
SCYSDS,I2FE2SS
S2FE2SR,I2FE2SS2
S2FE2SS,I2FE2SS2
S2FE2SS2,I2FE2SS2
SCYSDS,I2FE2SS2
S2FE2SR,I2FE2ST
S2FE2SS,I2FE2ST
S2FE2SS2,I2FE2ST
SCYSDS,I2FE2ST
S2FE2SR,I4FE4SR
S2FE2SS,I4FE4SR
S2FE2SS2,I4FE4SR
SCYSDS,I4FE4SR
S2FE2SR,I4FE4ST
S2FE2SS,I4FE4ST
S2FE2SS2,I4FE4ST
SCYSDS,I4FE4ST
S2FE2SR,I2FE2SR
S2FE2SS,I2FE2SR
S2FE2SS2,I2FE2SR
SCYSDS,I2FE2SR
S2FE2SR,I2FE2SS
S2FE2SS,I2FE2SS
S2FE2SS2,I2FE2SS
SCYSDS,I2FE2SS
S2FE2SR,I2FE2SS2
S2FE2SS,I2FE2SS2
S2FE2SS2,I2FE2SS2
SCYSDS,I2FE2SS2
S2FE2SR,I2FE2ST
S2FE2SS,I2FE2ST
S2FE2SS2,I2FE2ST
SCYSDS,I2FE2ST
S2FE2SR,I4FE4SR
S2FE2SS,I4FE4SR
S2FE2SS2,I4FE4SR
SCYSDS,I4FE4SR
S2FE2SR,I4FE4ST
S2FE2SS,I4FE4ST
S2FE2SS2,I4FE4ST
SCYSDS,I4FE4ST
CPPPGO,I2FE2SR
CPPPGO,I2FE2SS
CPPPGO,I2FE2SS2
CPPPGO,I2FE2ST
CPPPGO,I4FE4SR
CPPPGO,I4FE4ST
S2FE2SR,I2FE2SR
S2FE2SS,I2FE2SR
S2FE2SS2,I2FE2SR
SCYSDS,I2FE2SR
S2FE2SR,I2FE2SS
S2FE2SS,I2FE2SS
S2FE2SS2,I2FE2SS
SCYSDS,I2FE2SS
S2FE2SR,I2FE2SS2
S2FE2SS,I2FE2SS2
S2FE2SS2,I2FE2SS2
SCYSDS,I2FE2SS2
S2FE2SR,ICYSDS
S2FE2SS,ICYSDS
S2FE2SS2,ICYSDS
SCYSDS,ICYSDS
S2FE2SR,MOADSUx
S2FE2SS,MOADSUx
S2FE2SS2,MOADSUx
SCYSDS,MOADSUx
S2FE2SR,THZPSN3
S2FE2SS,THZPSN3
S2FE2SS2,THZPSN3
SCYSDS,THZPSN3
S2FE2SR,I2FE2SR
S2FE2SS,I2FE2SR
S2FE2SS2,I2FE2SR
SCYSDS,I2FE2SR
S2FE2SR,I2FE2SS
S2FE2SS,I2FE2SS
S2FE2SS2,I2FE2SS
SCYSDS,I2FE2SS
S2FE2SR,I2FE2SS2
S2FE2SS,I2FE2SS2
S2FE2SS2,I2FE2SS2
SCYSDS,I2FE2SS2
S2FE2SR,ICYSDS
S2FE2SS,ICYSDS
S2FE2SS2,ICYSDS
SCYSDS,ICYSDS
S2FE2SR,MOADSUx
S2FE2SS,MOADSUx
S2FE2SS2,MOADSUx
SCYSDS,MOADSUx
S2FE2SR,THZPSN3
S2FE2SS,THZPSN3
S2FE2SS2,THZPSN3
SCYSDS,THZPSN3
PHEMEabcpp,I2FE2SR
PHEMEabcpp,I2FE2SS
PHEMEabcpp,I2FE2SS2
PHEMEabcpp,ICYSDS
PHEMEabcpp,MOADSUx
PHEMEabcpp,THZPSN3
SADT2,MOCDS
TREH,MOCDS
S7PI,DSBCGT
S7PI,TDSR1
DHNPA2r,DSBCGT
DHNPTE,DSBCGT
DHNPA2r,TDSR1
DHNPTE,TDSR1
PHEMEabcpp,MDH
PHETRS,S2FE2SR
PHETRS,S2FE2SS
PHETRS,S2FE2SS2
PHETRS,S2FE2ST
PHETRS,S4FE4SR
PHETRS,S4FE4ST
ACCOAC,I2FE2SR
ACCOAC,I2FE2SS
ACCOAC,I2FE2SS2
ACCOAC,ICYSDS
ACCOAC,MOADSUx
ACCOAC,THZPSN3
UAAGDS,MOCDS
UHGADA,MOCDS
UDCPDPS,MOCDS
U23GAAT,MOCDS
UAGAAT,MOCDS
LPADSS,MOCDS
DXPS,MOCDS
CYSTRS,MOCDS
LEUTRS,MOCDS
PGK,MOCDS
METAT,MOCDS
DB4PS,MOCDS
UAGCVT,MOCDS
MOAT,MOCDS
MOAT2,MOCDS
G1PACT,MOCDS
UAGDP,MOCDS
GLUR,MOCDS
UAPGR,MOCDS
PPPGO,PPPGO3
FLDR2,POR5
DMPPS,IPDPS
